Sector,Ticker,Year,Month,Monthly_Return_%
Communication Services,BHARTIARTL.NS,2002,7,-10.0895
Communication Services,BHARTIARTL.NS,2002,8,3.9919000000000007
Communication Services,BHARTIARTL.NS,2002,9,-2.685599999999999
Communication Services,BHARTIARTL.NS,2002,10,-18.2067
Communication Services,BHARTIARTL.NS,2002,11,-3.5376000000000003
Communication Services,BHARTIARTL.NS,2002,12,-8.1807
Communication Services,BHARTIARTL.NS,2003,1,22.078400000000002
Communication Services,BHARTIARTL.NS,2003,2,-0.7868000000000007
Communication Services,BHARTIARTL.NS,2003,3,3.632199999999999
Communication Services,BHARTIARTL.NS,2003,4,19.394
Communication Services,BHARTIARTL.NS,2003,5,12.554100000000002
Communication Services,BHARTIARTL.NS,2003,6,3.3274999999999997
Communication Services,BHARTIARTL.NS,2003,7,27.5581
Communication Services,BHARTIARTL.NS,2003,8,32.674
Communication Services,BHARTIARTL.NS,2003,9,15.011400000000002
Communication Services,BHARTIARTL.NS,2003,10,14.694299999999998
Communication Services,BHARTIARTL.NS,2003,11,-5.9645
Communication Services,BHARTIARTL.NS,2003,12,22.6629
Communication Services,BHARTIARTL.NS,2004,1,27.3368
Communication Services,BHARTIARTL.NS,2004,2,6.5089999999999995
Communication Services,BHARTIARTL.NS,2004,3,10.762799999999999
Communication Services,BHARTIARTL.NS,2004,4,9.4569
Communication Services,BHARTIARTL.NS,2004,5,-18.0323
Communication Services,BHARTIARTL.NS,2004,6,-0.46579999999999977
Communication Services,BHARTIARTL.NS,2004,7,11.831
Communication Services,BHARTIARTL.NS,2004,8,-7.8525
Communication Services,BHARTIARTL.NS,2004,9,5.0205
Communication Services,BHARTIARTL.NS,2004,10,7.556900000000001
Communication Services,BHARTIARTL.NS,2004,11,10.1801
Communication Services,BHARTIARTL.NS,2004,12,23.0716
Communication Services,BHARTIARTL.NS,2005,1,7.479199999999999
Communication Services,BHARTIARTL.NS,2005,2,-1.8965000000000005
Communication Services,BHARTIARTL.NS,2005,3,-7.602499999999998
Communication Services,BHARTIARTL.NS,2005,4,-0.23889999999999967
Communication Services,BHARTIARTL.NS,2005,5,8.4399
Communication Services,BHARTIARTL.NS,2005,6,8.4294
Communication Services,BHARTIARTL.NS,2005,7,16.4632
Communication Services,BHARTIARTL.NS,2005,8,11.072799999999999
Communication Services,BHARTIARTL.NS,2005,9,10.6162
Communication Services,BHARTIARTL.NS,2005,10,-6.8226
Communication Services,BHARTIARTL.NS,2005,11,10.3063
Communication Services,BHARTIARTL.NS,2005,12,-2.8898999999999995
Communication Services,BHARTIARTL.NS,2006,1,3.6016
Communication Services,BHARTIARTL.NS,2006,2,1.2067
Communication Services,BHARTIARTL.NS,2006,3,13.935599999999999
Communication Services,BHARTIARTL.NS,2006,4,-1.4569
Communication Services,BHARTIARTL.NS,2006,5,-9.2551
Communication Services,BHARTIARTL.NS,2006,6,2.291300000000001
Communication Services,BHARTIARTL.NS,2006,7,4.0012
Communication Services,BHARTIARTL.NS,2006,8,7.2355
Communication Services,BHARTIARTL.NS,2006,9,13.6032
Communication Services,BHARTIARTL.NS,2006,10,12.4479
Communication Services,BHARTIARTL.NS,2006,11,17.7233
Communication Services,BHARTIARTL.NS,2006,12,0.29110000000000014
Communication Services,BHARTIARTL.NS,2007,1,12.241900000000001
Communication Services,BHARTIARTL.NS,2007,2,2.037199999999999
Communication Services,BHARTIARTL.NS,2007,3,6.708400000000001
Communication Services,BHARTIARTL.NS,2007,4,6.4934
Communication Services,BHARTIARTL.NS,2007,5,4.7353
Communication Services,BHARTIARTL.NS,2007,6,-1.4032000000000004
Communication Services,BHARTIARTL.NS,2007,7,7.853300000000001
Communication Services,BHARTIARTL.NS,2007,8,-1.7867999999999993
Communication Services,BHARTIARTL.NS,2007,9,7.038399999999999
Communication Services,BHARTIARTL.NS,2007,10,8.274899999999999
Communication Services,BHARTIARTL.NS,2007,11,-5.8574
Communication Services,BHARTIARTL.NS,2007,12,7.001599999999999
Communication Services,BHARTIARTL.NS,2008,1,-13.784899999999999
Communication Services,BHARTIARTL.NS,2008,2,-3.3039999999999994
Communication Services,BHARTIARTL.NS,2008,3,0.9699999999999998
Communication Services,BHARTIARTL.NS,2008,4,9.257899999999998
Communication Services,BHARTIARTL.NS,2008,5,-1.9736999999999991
Communication Services,BHARTIARTL.NS,2008,6,-18.7031
Communication Services,BHARTIARTL.NS,2008,7,11.2981
Communication Services,BHARTIARTL.NS,2008,8,5.148199999999999
Communication Services,BHARTIARTL.NS,2008,9,-5.758799999999999
Communication Services,BHARTIARTL.NS,2008,10,-14.6904
Communication Services,BHARTIARTL.NS,2008,11,4.618799999999999
Communication Services,BHARTIARTL.NS,2008,12,7.209699999999999
Communication Services,BHARTIARTL.NS,2009,1,-10.9615
Communication Services,BHARTIARTL.NS,2009,2,1.0257999999999994
Communication Services,BHARTIARTL.NS,2009,3,-1.270099999999999
Communication Services,BHARTIARTL.NS,2009,4,19.2862
Communication Services,BHARTIARTL.NS,2009,5,12.753700000000002
Communication Services,BHARTIARTL.NS,2009,6,-2.055599999999999
Communication Services,BHARTIARTL.NS,2009,7,2.8760000000000003
Communication Services,BHARTIARTL.NS,2009,8,4.168000000000001
Communication Services,BHARTIARTL.NS,2009,9,-0.9605999999999998
Communication Services,BHARTIARTL.NS,2009,10,-33.7511
Communication Services,BHARTIARTL.NS,2009,11,2.968
Communication Services,BHARTIARTL.NS,2009,12,10.0993
Communication Services,BHARTIARTL.NS,2010,1,-7.0335
Communication Services,BHARTIARTL.NS,2010,2,-8.4997
Communication Services,BHARTIARTL.NS,2010,3,11.565199999999999
Communication Services,BHARTIARTL.NS,2010,4,-4.3278
Communication Services,BHARTIARTL.NS,2010,5,-12.0562
Communication Services,BHARTIARTL.NS,2010,6,0.6239999999999994
Communication Services,BHARTIARTL.NS,2010,7,16.213900000000002
Communication Services,BHARTIARTL.NS,2010,8,6.7837
Communication Services,BHARTIARTL.NS,2010,9,11.605
Communication Services,BHARTIARTL.NS,2010,10,-11.328
Communication Services,BHARTIARTL.NS,2010,11,10.6526
Communication Services,BHARTIARTL.NS,2010,12,-0.06249999999999961
Communication Services,BHARTIARTL.NS,2011,1,-11.4366
Communication Services,BHARTIARTL.NS,2011,2,4.1603
Communication Services,BHARTIARTL.NS,2011,3,7.9376999999999995
Communication Services,BHARTIARTL.NS,2011,4,6.2818
Communication Services,BHARTIARTL.NS,2011,5,-1.2964999999999998
Communication Services,BHARTIARTL.NS,2011,6,5.613100000000001
Communication Services,BHARTIARTL.NS,2011,7,10.611
Communication Services,BHARTIARTL.NS,2011,8,-7.5024
Communication Services,BHARTIARTL.NS,2011,9,-6.4634
Communication Services,BHARTIARTL.NS,2011,10,3.9742000000000006
Communication Services,BHARTIARTL.NS,2011,11,-0.9773000000000005
Communication Services,BHARTIARTL.NS,2011,12,-10.973899999999999
Communication Services,BHARTIARTL.NS,2012,1,6.936300000000001
Communication Services,BHARTIARTL.NS,2012,2,-3.6498999999999997
Communication Services,BHARTIARTL.NS,2012,3,-3.1492999999999993
Communication Services,BHARTIARTL.NS,2012,4,-8.2454
Communication Services,BHARTIARTL.NS,2012,5,-2.2238999999999995
Communication Services,BHARTIARTL.NS,2012,6,1.0257000000000003
Communication Services,BHARTIARTL.NS,2012,7,-1.1940999999999995
Communication Services,BHARTIARTL.NS,2012,8,-18.5156
Communication Services,BHARTIARTL.NS,2012,9,7.300400000000001
Communication Services,BHARTIARTL.NS,2012,10,1.7499
Communication Services,BHARTIARTL.NS,2012,11,22.8028
Communication Services,BHARTIARTL.NS,2012,12,-5.742500000000001
Communication Services,BHARTIARTL.NS,2013,1,7.2871999999999995
Communication Services,BHARTIARTL.NS,2013,2,-4.5725
Communication Services,BHARTIARTL.NS,2013,3,-9.504199999999999
Communication Services,BHARTIARTL.NS,2013,4,9.368800000000002
Communication Services,BHARTIARTL.NS,2013,5,-4.891800000000002
Communication Services,BHARTIARTL.NS,2013,6,-2.7487999999999992
Communication Services,BHARTIARTL.NS,2013,7,17.3308
Communication Services,BHARTIARTL.NS,2013,8,-13.239300000000002
Communication Services,BHARTIARTL.NS,2013,9,7.375100000000001
Communication Services,BHARTIARTL.NS,2013,10,14.5109
Communication Services,BHARTIARTL.NS,2013,11,-11.3409
Communication Services,BHARTIARTL.NS,2013,12,1.2099000000000006
Communication Services,BHARTIARTL.NS,2014,1,-4.4073
Communication Services,BHARTIARTL.NS,2014,2,-8.839599999999999
Communication Services,BHARTIARTL.NS,2014,3,10.3144
Communication Services,BHARTIARTL.NS,2014,4,3.3649999999999998
Communication Services,BHARTIARTL.NS,2014,5,5.1244
Communication Services,BHARTIARTL.NS,2014,6,-1.7800999999999998
Communication Services,BHARTIARTL.NS,2014,7,10.4771
Communication Services,BHARTIARTL.NS,2014,8,-0.6733
Communication Services,BHARTIARTL.NS,2014,9,9.3571
Communication Services,BHARTIARTL.NS,2014,10,-1.3509999999999995
Communication Services,BHARTIARTL.NS,2014,11,-4.0771
Communication Services,BHARTIARTL.NS,2014,12,-7.7586
Communication Services,BHARTIARTL.NS,2015,1,6.2841
Communication Services,BHARTIARTL.NS,2015,2,-4.7425
Communication Services,BHARTIARTL.NS,2015,3,10.9896
Communication Services,BHARTIARTL.NS,2015,4,-2.7476000000000003
Communication Services,BHARTIARTL.NS,2015,5,11.3738
Communication Services,BHARTIARTL.NS,2015,6,-1.1279000000000008
Communication Services,BHARTIARTL.NS,2015,7,-0.004399999999999293
Communication Services,BHARTIARTL.NS,2015,8,-16.1739
Communication Services,BHARTIARTL.NS,2015,9,-4.437099999999999
Communication Services,BHARTIARTL.NS,2015,10,3.5595999999999997
Communication Services,BHARTIARTL.NS,2015,11,-4.1902
Communication Services,BHARTIARTL.NS,2015,12,2.0896000000000003
Communication Services,BHARTIARTL.NS,2016,1,-15.762
Communication Services,BHARTIARTL.NS,2016,2,8.758700000000001
Communication Services,BHARTIARTL.NS,2016,3,10.7983
Communication Services,BHARTIARTL.NS,2016,4,4.1356
Communication Services,BHARTIARTL.NS,2016,5,-3.1607000000000003
Communication Services,BHARTIARTL.NS,2016,6,4.66
Communication Services,BHARTIARTL.NS,2016,7,-1.0234
Communication Services,BHARTIARTL.NS,2016,8,-8.5473
Communication Services,BHARTIARTL.NS,2016,9,-5.0941
Communication Services,BHARTIARTL.NS,2016,10,1.7009000000000003
Communication Services,BHARTIARTL.NS,2016,11,2.242299999999999
Communication Services,BHARTIARTL.NS,2016,12,-5.7896
Communication Services,BHARTIARTL.NS,2017,1,13.4947
Communication Services,BHARTIARTL.NS,2017,2,5.0075
Communication Services,BHARTIARTL.NS,2017,3,-4.0134
Communication Services,BHARTIARTL.NS,2017,4,1.6899000000000002
Communication Services,BHARTIARTL.NS,2017,5,4.8563
Communication Services,BHARTIARTL.NS,2017,6,2.2553999999999994
Communication Services,BHARTIARTL.NS,2017,7,10.1889
Communication Services,BHARTIARTL.NS,2017,8,2.177399999999999
Communication Services,BHARTIARTL.NS,2017,9,-9.2368
Communication Services,BHARTIARTL.NS,2017,10,25.3939
Communication Services,BHARTIARTL.NS,2017,11,0.42389999999999883
Communication Services,BHARTIARTL.NS,2017,12,6.879800000000001
