Ticker,Company,Sector
RELIANCE.NS,Reliance Industries,Energy
TCS.NS,Tata Consultancy Services,Technology
HDFCBANK.NS,HDFC Bank,Financials
ICICIBANK.NS,ICICI Bank,Financials
INFY.NS,Infosys,Technology
SBIN.NS,State Bank of India,Financials
ITC.NS,ITC Limited,Consumer Staples
HINDUNILVR.NS,Hindustan Unilever,Consumer Staples
LT.NS,Larsen & Toubro,Industrials
KOTAKBANK.NS,Kotak Mahindra Bank,Financials
AXISBANK.NS,Axis Bank,Financials
BHARTIARTL.NS,Bharti Airtel,Communication Services
ASIANPAINT.NS,Asian Paints,Materials
BAJFINANCE.NS,Bajaj Finance,Financials
MARUTI.NS,Maruti Suzuki,Consumer Discretionary
SUNPHARMA.NS,Sun Pharmaceutical,Healthcare
TITAN.NS,Titan Company,Consumer Discretionary
ULTRACEMCO.NS,UltraTech Cement,Materials
NTPC.NS,NTPC,Utilities
POWERGRID.NS,Power Grid Corporation,Utilities
