Ticker,Company,Date,Close,Daily_Return_%,Return_1M_%,Return_1Y_%,RSI_14,RSI_Signal,MACD,Volatility_1M_%,BB_Position,Above_SMA200
ASIANPAINT.NS,Asian Paints,2026-07-03,2737.8,-0.2441,2.8629,16.945,60.31,Neutral,19.5373,18.8542,0.7284,1
AXISBANK.NS,Axis Bank,2026-07-03,1342.1,-1.5045,7.0853,11.9163,51.44,Neutral,16.6729,19.0105,0.4367,1
BAJFINANCE.NS,Bajaj Finance,2026-07-03,1031.4,1.2765,17.9552,10.1335,74.34,Overbought,27.3691,26.8149,0.8914,1
BHARTIARTL.NS,Bharti Airtel,2026-07-03,1910.4,1.888,5.0305,-4.9363,61.59,Neutral,10.4242,17.5674,0.8474,0
HDFCBANK.NS,HDFC Bank,2026-07-03,801.05,0.6471,6.2119,-19.955,61.01,Neutral,8.8589,20.7708,0.7487,0
HINDUNILVR.NS,Hindustan Unilever,2026-07-03,2201.2,-0.4252,5.8575,-4.0704,54.08,Neutral,-0.2778,20.4821,0.7666,0
ICICIBANK.NS,ICICI Bank,2026-07-03,1411.4,0.8143,12.7586,-2.3793,72.87,Overbought,31.1912,16.4256,0.8876,1
INFY.NS,Infosys,2026-07-03,1047.2,0.6052,-12.8278,-34.6235,41.96,Neutral,-40.3239,41.6405,0.3397,0
ITC.NS,ITC Limited,2026-07-03,289.95,0.0172,3.4427,-30.3758,48.52,Neutral,-0.9501,10.6233,0.614,0
KOTAKBANK.NS,Kotak Mahindra Bank,2026-07-03,396.75,-0.6386,3.9974,-8.3083,51.04,Neutral,3.2771,20.6865,0.44,0
LT.NS,Larsen & Toubro,2026-07-03,4026.6001,-0.808,2.1435,9.7226,43.43,Neutral,26.1119,23.5154,0.3424,1
MARUTI.NS,Maruti Suzuki,2026-07-03,14366.0,0.1255,9.9663,15.8548,66.54,Neutral,260.5782,29.4115,0.9509,0
NTPC.NS,NTPC,2026-07-03,356.45,-0.5024,-2.7156,6.4348,41.17,Neutral,-5.1264,18.3441,0.4709,0
POWERGRID.NS,Power Grid Corporation,2026-07-03,287.85,-0.1214,1.142,-4.018,46.5,Neutral,-1.9473,14.5261,0.5392,1
RELIANCE.NS,Reliance Industries,2026-07-03,1304.0,0.0384,0.023,-13.1014,45.83,Neutral,-7.1027,17.7876,0.5171,0
SBIN.NS,State Bank of India,2026-07-03,1040.0,-1.1031,6.2037,26.7752,56.73,Neutral,11.864,16.6733,0.679,1
SUNPHARMA.NS,Sun Pharmaceutical,2026-07-03,1904.8,1.8065,7.0052,13.6719,70.23,Overbought,19.2246,9.7695,0.9585,1
TCS.NS,Tata Consultancy Services,2026-07-03,2093.5,1.2282,-6.5819,-39.5292,43.46,Neutral,-59.3923,31.4742,0.3795,0
TITAN.NS,Titan Company,2026-07-03,4461.1001,-0.4463,5.4384,20.8905,62.63,Neutral,59.9088,24.8321,0.8213,1
ULTRACEMCO.NS,UltraTech Cement,2026-07-03,11723.0,1.621,6.6018,-3.0596,61.16,Neutral,42.3403,19.2738,0.9208,0
